,Alas,Indo,Domain
40,mehayak da jenis khut model daun conteh ne bage kuning e nemu bahan kalak jadi daun kalak melahekh ken,,Culture/Tourism
41,membosihken khut menyiram khut membekhiken mangan,,Instructions
42,sampaiken mimpi tekh aneh mu si pekhnah kamu khase ken,,Story/narrative
43,materi kua si sikel kate bahani pakati imbang ulang lupa bahani grup v kase taboh te kekat v,,Instructions
44,"tentang kisah nggeluh ku si sangket kisah meteman ku,kisah cinteku ,kisah ku mebhahan ndapah kendie kisah ku patah semangat si ni bangkit Ken khangtue sehingge sendah aku mbelin ate tebhe sekolah ku",,Story/narrative
45,kenangen kae plin si paling bagimu sendah nde gedi kin kadang gedi nu,,Story/narrative
46,mebahan gedi anin kau bahab ne bahani edi da kau oe geid nge diw da aju,,Story/narrative
47,kedue malet sesuai si kite khencaneken ketelu kendaraan en si kite jintoi khusak,,Story/narrative
48,jakhang Lot bakhang si sedang tren saat nde,,Story/narrative
49,tantangen se ku hadapi sendah ialah dauh dakhi pasangen ku jadi kami hakhus nahan tedoh nangat jumpe,,Story/narrative
50,malot mekhase kaepe malot mekhase kaepe malot mekhase kaepe,,Story/narrative
51,ikan tongkol dabuh me semen ipen mu nongol silaumen,,Story/narrative
52,kite sebage bekhu pe let gak te hoye kewajiben plin amin lot tetapi hak te pe lot ni Bagas pernikahen e,,Story/narrative
53,bage kae v sah inti ne mende bagi ku khut keindahan ne,,Story/narrative
54,petame pikneken be kae si sekel kite bahan pul edi kite siapken me bahan ne bakhu nemu kite kasaki,,Culture/Tourism
55,sadakj kune kite dang tekhuh die Edi Amin si akhus inget,,Story/narrative
56,kae plin ulah mu si paling kao sesalie bagi mu,,Story/narrative
57,edi tergantung be diri te masing2 de jaman kite ikuti kite pe gat hancur usahe jamane ngikuti kite,,Story/narrative
58,"tong ni khe tuhan kesehatan keselamatan,dan khajeki",,Story/narrative
59,pria baik begedi me Hamin khajin ibadah khajin sedekah,,Story/narrative
60,dengan cakhe nukokh bahan- bahan dengan harge yang mukhah,,Instructions
61,picengken mate te endak inginne piceng kacipken bedih Kase medem ne,,Story/narrative
62,gelem kalak pantat ku edi me megas akubuah katak ku gelem ne,,Story/narrative
63,"te go berhasil tujuen khut cite-citeku, edhi me wakhi si paling bahagie",,Story/narrative
64,malet kutoh malet ukhok aku malet kutoh malet ukhok aku,,Story/narrative
65,"pekhan Seni, sastra khut bentuk ekspresi Bagas seni ni sejakhah Daekhah enggo mulai let si bekhubah begedi Kane khut sastra let Kane pekhubahen ne",,History
66,kami susun be iye de dak nhn kami iget-iget kae sikel,,Instructions
67,Mengucur surut berbuang langkah bumi ni pijak rase ne rebah kene cemeti khaje pilihen kude pe ngadi lalu bertahan,,History
68,cekhite ken tentang kas mu si pekhah kamu kunjungi si memiliki cekhite sejakhah atau pe tradisi budaya si paling bayak,,Culture/Tourism
69,hobi membantu khang tue melelo khut imbang khidi-khidi,,Story/narrative
70,pekhan alam atau lingkungen ni bagas sebuah budaye esi tekhmasuk tradisi,,Culture/Tourism
71,aku nangat mekhanak kakhene ni Bagas kite enggo me khumah tangge anak me sebuah anugrah ni Bagas khumah tangge te sebage pelengkap ni Bagas pernikahen kite e,,Story/narrative
72,"bukai play store e,ketik gelakh aplikasi ne,instal gat",,Instructions
73,amai ulang gedi yah natek u mengket soge da ulang be yeh ne,,Story/narrative
74,kae si sekel kao lakuken de mengalami fase jenuh ni bagas hubungen?,,Story/narrative
75,sengkikhe ne bhagas senang ku lot si Mahan mekhuas ate tibhe tibe,,Story/narrative
76,Mendapet pakanen indah terlalu jadi ne nenek mu mekhate pilu wahe kempuku belahen badan iluh ku ambur ber kilo kilo en,,History
77,musik ni daekhah ku si paling get ate kalak edi lagu kalak bines,,Culture/Tourism
78,khut cikhem tipis sesekali tatap mate ne,,Instructions
79,menghibukh diri bage nyanyi atau lajang khut imbang,,Instructions
80,karene sesuatu si pengaruh mebelin Edi Ndak sesuai khut si kite impiken karene barang Ndak mejile bage kita mau,,Story/narrative
81,"malet khamah ku v,  malet penah aku mekhamah v",,Story/narrative
82,pengalaman unik lumayan lah untuk nge tes bahase alaste,,Story/narrative
83,Jile ne made nange terhingge Bertatah intan bunge cempake Ni hadih konon muleng tepat Intan baiduri keri ne leket,,History
84,Ndak kepe Tuhu niet mu die khut aku mekhumah tangge,,Story/narrative
85,"buke hp terus cek pesan ise akhi,",buka hp terus cek pesan dari siapa saja ,Instructions
86,Kate ni kabar kalak mengarang sultan pe neggo ni tawan orang perang berdesak betengah padang turun turaq ne edan,,History
87,"ibu Kartini e,sebhab sidhe si ngajakhi kite nandai hukhup,sehingga sendah bhacakh te Ndak melilah ngendaliken dunie nde pe gat",,History
88,"ulang mengket me selep ulang gampakh Ken pikhing pul mangan ni kas mangan e,ulang mekhimah ,ulang mecekhok mangan ,ulang lambat sembahyang,ulang Ndak kekhi nakan,ulang ndapah kendie bhahan bakhang ulang kekhas Dhe mecekhok",,Story/narrative
89,bacakh ye bage Kalak no line ken nale me dak nale me aku v,,Culture/Tourism
90,cekhite ken kune penyebab gat nemu tertukakh budaya dan globalisasi ni daerah mu,,History
91,Tebe ken kami kao bere ken hasan ni dape kao tading ken. Nemu ku bere ken nyawe yang sakti supaye senang khase neni hati,,History
92,"tiga hari lagi sedang waktu ketike ne pemamanen, maka ni lapisi tule, ni takhuh ken anak malu",,Culture/Tourism
93,Tebe sahabat lalu bermadah sayyidina usman ali ahli ibadah wahe sodakhe ku sahabat sejati ni padang hanain kaskin menanti.,,History
94,"imbang ku bacakh kakhene khajin belajakh khut ukhok muet ate gukhu selain Edi iye ukhok Kane guneken waktu sebaik mungkin guneken ne waktu luang ne pe untuk belajakh,oye untuk melelo",,Story/narrative
95,dikhi ku jeme ne mudah megaul khut kalak walope jeme e mange ku tandai sebelum ne tapi de let imbang khapet khut aku de hianati ne aku ulang hakhap sipat si die bali tule walo v nggo baik en,,Story/narrative
96,lelo kakhet lelo berbi siap di lelo masaken pul Edi gakhami bahanen Kase ni leloken bage bunge atau Bulung Bulung lain ne,,Story/narrative
97,"bahagie,khagene dapet sen lime puluhg ghibu",,Story/narrative
98,Hendak Kao ikut dalan pedoman tetap Ken ate mu teguh Ken iman. Menempuh arus dengen gelombang memanuk Pune di sikel kabang,,History
99,pebue ngopi ulang medem medem gedi pelin lah,,Instructions
100,kawin aku khut kalak si ku cinte pul edi jadi kalak sukses aku,,Story/narrative
101,"ngato2 pemandangen, mangan taboh2 dan nikmati kae pe si mu di nikmati",,Story/narrative
102,"mbue impienku, membahagieken khangtueku, sekolah ndhatas, lot usahe kane ndqk nusahi kalak",,Story/narrative
103,Bangeken semut ni guhe batu. Akkahu rabbi buwe itu. meribu lusin baju ne besi pake senamapang pedang jenawi.,,History
104,"cekhiteken kune cakhe kalak seni, sastra dan bentuk lain nd bagas mahani sejakhah ni daerah mu",,History
105,Jadi ame mu mekhate pilu pakenen indah sangat terlalu dengen kae kah uan ku begi jadi ame mutuan mekhase geli,,History
106,cube cekhite ken kae kae plin kelebihen ni bagas dikhi mu sendikhi,,Story/narrative
107,telebih dahulu medoe be pul edi beruhase utk dapet ken se,,Instructions
108,ulang pebual bagas khumah tangge,,Story/narrative
109,kakhene sebagian jeme mengap hewan jahat e Nemu melindungi,,Story/narrative
110,kenangan ketike khut sekolah khut jeme si ni cintai atope ni sebut cinglok ni sekolah,,Story/narrative
111,lajang-lajang khut imbang khut khang tue khut keluarge,,Story/narrative
112,sebhab keluakhge ku mengjakhken aku akhti dakhipade penting ne menjaga pekhsaudakhaen,sebab keluarga ku mengajarkan aku arti daripada pentingnya menjaga persaudaraan ,Story/narrative
113,Tangan si petep pen i sambung kene bhage semule tule rupe tanganne luke ne edi made kelihaten metambah kuat tule tangan de sultan,,History
114,kakhene sebelum menentuken kae pe edi kite hakhus pikekhken be mende mende kase dak lot penyesalen se kite khase ken ne waktu mendatang nahan,,Story/narrative
115,kae sendah masih mu mekhobah dak kisah bage biase ne,,Story/narrative
116,Dhe kae si ku dhapet si ku impikan kale akhi nggo pasti aku senang sebhab mekhase metambah semangat te pe,,Story/narrative
117,manfaat Ken waktu libukh untuk membantu khang tue mebahan,,Story/narrative
118,menurut q demokrasi bages Indonesia Edi me sangat bagus karena negara Ende kerina let hukum ne,,History
119,"Kane kas ne malet penah bedi aku, edikase nangat aku bedi",,Story/narrative
120,cekhite ken mengenai pengalamen perjalanen si unik atau pe berkesan ni bagas dikhi mu,,Culture/Tourism
121,kae pelin si Nemu bahan atemu senang cube sebut Ken ni Handa kae pelin alasan ne,,Story/narrative
122,Kahaje hendak maksudne terang makah madinag mungkin serang. Baginda ali mido dengen segere aku berangkat dengendengen segerene.,,History
123,Hal si kusuke si ku khe Ken be kalak lain Edi saling membantu sesame manusie,,Story/narrative
124,toh nae kae tule aku v begende me Hamin ulah ku bg ulng gt,,Story/narrative
125,"de aku jadi fotografer, mbue hall sii ku fotoii, contoh ne bagee ku fotoii bunge-bunge, ku fotoii tulee pemandangen ni deleng deleng, khut lebe si ni sekitakhen ku",,Story/narrative
126,khidi khut anku ni Bagas Lawe angkat pot kandu,,Story/narrative
127,"sebhab pakenen adat alas nde menakhik pekhhatinen,mesemban negakhe khut hijo ne Mahan SE mpakhas Dhe mempkhomosi Ken Tanoh alas si tong hijo nde kane",,Culture/Tourism
128,terutama si ku bahan bages gua edi me nyaman khut bersih,,Story/narrative
129,"de gat gedi nimu kukhase malet gat kekhine kalak ngege ken cekhok ku, ape me ingin kalak",,Story/narrative
130,"yaedi sangat mejile kakhene selain kas ne mantap, imbang kas mebahanpe taboh mudah untuk bergaul",,Story/narrative
131,suakhe desahen janda pirang ni Bagas kamakh ne sendikhi,,Story/narrative
132,cubhe memahamise sebhab kae PE malet kite toh Dhe mange kite cubhe khut kite fahami,,Instructions
133,"Dhe ate gembikhe ,senang kite,malet beban pikekhen te tawe nge kite",,Story/narrative
134,mege ken kalak tangis megeken anak khibut pening bahan ne,,Story/narrative
135,"ulang ketat su, ulang syari su pe pokok ne malet cekhok i kalak aku de ku pakek",,Story/narrative
136,"Kalak Putut, Kalak malet Mende pekhasat ne , mbue su gaye",,Story/narrative
137,dengan cakhe cakhi kesibukan si mu melupakan dikhi akhi patah hati,,Story/narrative
138,sendah de aku mikikhin kune Kase sukses kedepan ne membahagieken kedue okhang tue ku,,Story/narrative
139,"khangtue ku tong nggeluh Soh sendah,cikhem tawe ne tong kidah Soh wakhi nde",,Story/narrative
140,kau pecaye takdir atau manusie ngendaliken dikhi sendikhi?,,Story/narrative
141,pahi bisa menjadi penanda bahwa mereka tidak akan pernah bisa lepas dari sini kita akan kau,,Story/narrative
142,Terhenti madah paduke hadrat lot kin saudare Kedah lewat ni barat Pengen segere tuan karang Ken supaye Nemu patik taruh ken,,History
143,"sampah hakhus ni kelola supaye menghindakhi cemak ni sekitakhen kite eeee, kane nemu ni manfaatken tule misalne jadi pupuk jadi bahan lain ne",,Story/narrative
144,Kakhene lucu,,Story/narrative
145,senang ne Ndak melilah kakhene Edi pencapaian Ndak main main,,Story/narrative
146,Sehingge ende kabar cerite laskar khaje handak sokhtekerine enggo terang waktu ke tike ne perdana menteri hadir ni situ.,,History
147,dengan cakhe sepuk in sen lebe dan gakhami,,Instructions
148,bahan tanggal khut wakhi digan si sikel kite lakuken parawaten kendaraen kite,,Instructions
149,kune cakhe me mahan karya terbaik si pekhnah kamu bahanni,,Story/narrative
150,"menukhut mu, kae pelin kau pekhlu ni siapken sebelum pensiun",,Story/narrative
151,bangun negakhe bangun si ni janji Ken ne,,History
152,ne saat mendapatke sen,,Instructions
153,dakhi imbang kute dan penasakhen aku Tuhu ape dk Nemu menghasilkan uang atau pulsa,,Instructions
154,"kakhene lucu kalihen,gemesss aku pe",,Story/narrative
155,De mende produk lokal kite bue si  pilih  pelit produk lokal kite Pate nangkih  ekonomi  te,,Story/narrative
156,kae pengalamen atau kisah si paling menginspirasi kau pas,,Story/narrative
157,lebe kawin lakhi de cinte ne malet ni khestui khang tuene,,Culture/Tourism
158,kae si paling kau sukai dakhi khamah mu?,,Story/narrative
159,menukhut saya intruksi menanam jagung itelah pilihlah bibit si mendene,,Culture/Tourism
160,"nde aku cukup ngidah khang tue ku bahagie, senang ate ne, tenang pikekhenne",,Instructions
161,bahgie ku idah kass libukhen aku kelok bahagie te libukhen,,Culture/Tourism
162,cekhite tentang bahanen kau wakhi de,,Story/narrative
163,kejadian si mele bages geluh q Edi dapet aku merokok ni sekolah,,Story/narrative
164,khajin plin belajar tong semangat makan lembut males kalikhen mace,,Story/narrative
165,"ulang penah tadingken cekhok te,walau pe kite laus ndauh",,Culture/Tourism
166,Pilih to tuan suke sendiri ni tenun  oleh bedio dari ape si sure pilih kandu to tuan emas permata intan sejalan,,History
167,yaedi ketike mekhase bahagie malet kaepe si ngeganggu pikekhen,,Story/narrative
168,"Laskar panglime enggo soh kerine berjumpe dengen polisi jage ne panglime khaibar memberi sala, polisi menjawab Alaikum salam.",,History
169,kae plin si bahan kau gat begedi hangaten nigidah se,,Story/narrative
170,bantu kalak ulang akhapken imbalan citok pe,,Instructions
171,kakhene aku laus kuliah yaedi untuk menuntut ilmu,,Story/narrative
172,malet esebba malet Mende untuk kite wakhi pudi,,Story/narrative
173,ulang plin mengas jage kesopanen ulang telat,,Story/narrative
174,cube jelas ken kune pendapat mu tentang kualitas demokrasi Indonesia saat nde,,History
175,dapet juakhe kelas,,Story/narrative
176,"untuk dommi kebutuhen geluh, khut kas tading manusie",,Culture/Tourism
177,lepat mentakh isine niwokh ni galungken khut bulung galuh,,Culture/Tourism
178,kae ken ma dalani Ale bage si ku dalani sendah nde me gedi ale,,Story/narrative
179,Tebe ken kempu made ni kabar ken untung mu enggo allah takdir ken enggo kin takdir untung ni pinte takdir ken allah tuhan yang satu,,History
180,mengenai hal perkembangan anak ku ni setiap bulan iye berkembang,,Story/narrative
181,khutung buah paling aq get khase ne taboh melemak mis,,Story/narrative
182,Terhenti kisah fatimah siti cerite yang lain pule berganti maha raje yajid konon gelar ne negeri damsik gelar negeri ne,,History
183,khajin belajakh tekuni edi mahanse aku jago ni bidangku,rajin belajar dan tekun itu yang membuat saya jago dibidang saya ,Story/narrative
184,jadiken kegagalan ni waktu die menjadi pengalamen kite kedepanne,,Story/narrative
185,sensus penduduk makna ne sangat penting kite mencatat penduduk te kane tecatat ni pusat sehingge si penduduk te si kurang mampu dapet bantuen,,Story/narrative
186,malot kae v akhti ne lepak imbang v Putut ye amin mu kite malot mu papelin pinjam sen amin ulah ne v gan ne aku de bayak dak khre nahan tembohen ye khre nahan malot baya ne v mampul men kite Mido se v malot open ne v kune Ken me nale di payah emang jeme ne nu,,Story/narrative
187,menukhut ku cukup iye memenuhi kebutuhen ne sehari-hari kae si nangat iye Tuko Nemu tuko ne,,Story/narrative
188,jelasken kae ngat khasene menjadi juakhe mencapai sesuatu malet paham aku ngw,,Story/narrative
189,"hal si hobi kukheken kepade imbang si lain yaedi pekhatien, dukungen atope bentuk semangat motivasi te lukah bantuen matekhi tebeken imbang si polu",,Story/narrative
190,membace,,Instructions
191,jelaskhen tentang khas mu nibelinkhen,jelaskan tentang dirimu dibesarkan dilingkungan ,Story/narrative
192,"tukhang ne pakek pahakh tandok pe pakek kasukh, pakek tulang lembu, pakek telokh manuk bagas pahakh e",,Culture/Tourism
193,Hasan menjawab pule demikian dhari nenek ku side bere ken pemere nenek ku rasul utame jubah bertahta intan delime,,History
194,karene mbue sen ne taboh laus dape pe Nate ne,,Story/narrative
195,Berhenti perang raje bangsawan Marwan hakim gelar ne tuan ni sileken utusen dengen segere tebe baginde mahkote negare,,History
196,lengan gedang te gat kemeja lengan pendok te gat kaos,,Story/narrative
197,menukhutku teknologi mase depan mungkin khoh canggih ne khoh memudahken jeme untuk melakuken kegiatan kae pe,,Story/narrative
198,biyakh te akhus bekhati Kane capai tujuen tertentu,,Instructions
199,"kakhene lebe jeme malet ukhok ne membace, makane malet get ate ne bukai buku pe",,Story/narrative
200,bue lah,,Culture/Tourism
201,mebue baje Qur'an Kane cinte di malet untung ne,,Story/narrative
202,"de Nemu ku undang jeme ise pe ni dunie nde untuk mangan khut,akan ku undang Jokowi dan ku sukhuh Jokowi mayakh makanen ne e",,Story/narrative
203,malet kutoh cekhitene,,Story/narrative
204,"ibadah,panganen,dan hubungen",,Story/narrative
205,kakhen get ate mudah ni pahami Gani ni alami,,Story/narrative
206,de sendahnde komunikasi nggo taboh contohne plin bage grup wa,,Culture/Tourism
207,yaedi dengan dukungan khang tue pantang menyekhah melakuken hal positif dan tekhus belajakh,,Story/narrative
208,Sekalak mate ni racun orang khase ne hambar makan ni pangan anak ni peluk telune berdiri muhammad ali hanafiah ni tengah pasti,,History
209,kelebihen ketike belanje ni pekan ialah bakhang ne bue dan bue pilihen kite v,,Story/narrative
210,Berganti ganti pade mase ne Sebuah leket tebe kude ne Ali akbar be lalu gat dabuh Tulan khut sendi keri ne rubuh,,History
211,kae tukoen kenin si kenin khase paling penting dan kae hal sana penting penting,,Story/narrative
212,"harus kite disiplin, khajin, jujur, Kane kite Ndak munyang ate kalak",,Story/narrative
213,tenggo warga tekhus siram pakek lawe ulang gay khut kte pe mesenh,,Instructions
214,Hanye sekedar hambe kabar ken tebe saudare hambe terang ken ali akbar pe lalu ber salam muke ne pucat wajah ne muram,,History
215,cakhe ku bantu Kalak kase ulang iye mekhase pamkhih ulang toh ne kite mekhe bantuen Bane cukup kite khut tuhan plin metoh se,,Instructions
216,"belajakh dakhi kesalahen, ulang pantang menyerah",,Story/narrative
217,begedi Hamin lahekh jadi beli,,Story/narrative
218,"hal si paling aku suka dakhi pasangenku adalah kesetien ne , jujukh ne ,kebaiken ne sopan santun ne",,Story/narrative
219,Kabar ni kalak empung cerite Sengkire begedi engko me minte Sekalian kapir kembali pulang Tading me Husin me khate walang,,History
220,yuh de lot sen ku pagi kan ku tuko khumah qbsiap Edi kan ku tadingin khut laki ku Nate ku kan khumah q mebelin estetik Nate q baghe khumah kalk e siap Edi kan lot ank ku pagi kan khut ank ku pagi aku Adi tading,,Instructions
221,siapkan bahn-bahan ne,,Instructions
222,pekh tame akhus let kas medem ne let makanen ne akhus kite khawat akhus kite khe mangan,,Instructions
223,cekhite terbaik dari sekolah atau kas mebahan apabile kite nemu menyeleseken bahanen tepat pada waktu ne,,Story/narrative
224,si ku laku Ken pekhateme aku membesih Ken khumah sambil aku sapu,,Instructions
225,jelasken alasan kae akhus patuh me okhang tue,,Story/narrative
226,kune cakhen mahani dikhi bahagie kas wakhi budine,,Instructions
227,hal kae pelin menukhut mu mahan perubahen mbelin bagas sejarah manusie kae mahan se,,History
228,"menukhutmu, kune kau ndapetken gedhang badanmu sendah ?","menurutmu, bagaimana kamu mendapatkan tinggi badan mu sekarang?",Instructions
229,cekhiteken si kae ni bahas pul edi ungucapken salam kami pe bace materi,,
230,bage biase kami me adat alas kae tradisi ni alas gedi me tradisi ni keluakhge kami v,,Culture/Tourism
231,kakhene lot khibut ni antakhe jeme jeme i dunie,,Story/narrative
232,kane edi menjadi pilihen kite ni mase depan pot kite sip atau maju lebih maju,,Story/narrative
233,"si mu kucekhiteken pengalamen si mehakhge, si megune bhe kalak ntekhem",,Story/narrative
234,ketekhe cakhe kenin menjage hoda kane tetap mejile,,Instructions
235,"Dhe dhang bhujang hubungen khut imbang kukap pentingen sebhab Dhe dhang mudhe mekhamah e kekhine njadhi mantan nge Edhi apelagi nggo Kase ndak khestui imbang te Edhi khamah te,maso me tekhusken ,nggo pahe Ndak Mende dhi,tapi Dhe sengkikhe ne nggo kawin pagi lotonen khut pasangen ne,sebhab imbang tepe kekhine pagi kawin njadhi sakhing bhe kekhine",,Story/narrative
236,Selurun rakyat enggo bersatu nimai perintah rasul piatu wahe sahabat sodakhe bete ngelawan musuh same khate ne.,,History
237,"kune cakhe mu ngucap ken malet, ni suatu ke inginen mu",,Story/narrative
238,hal terburuk ni dunie Kalak si ikhi dengki khut Kalak si hobi mengadu domba sesame jabu,,Story/narrative
239,kawin gat let anak  me bahan dapet sen sekolah umrah haji,,Story/narrative
240,malot buah v kesan ne khrine maneik amin jeme de bue si Kalak iri dengkit de payah kite kap gedi malot mu let Bante gho ire ye te ye Putut ne dak wayang kae dak panek kite ngidah se gedi,,Story/narrative
241,Ni padang karbale sampe lah sudah Tebe raje yazid Sultan yang sahdah Babu irah medalan dengen segere Surat ni ciduh ken dengen segere,,History
242,Mase cut si paling gembikhe aku senakhen melelo job wakhi,,Story/narrative
243,Sohme pule tebe ken negeri ne ame ne sultan ni dapeti ne enggolah bhene mahkote negeri tebe kan du me patik kabari,,History
244,gegakhe hakhte mbue kalak petengkah,,Culture/Tourism
245,cekhite ken hal hal kae plin di nikmati wisatawan lokal ni daekhah mu,,Culture/Tourism
246,cakhe ku meningkatken kerja sama yaitu saling percaye dalam kerja sama e ulang saling menyalahken tapi saling mendukung,,Story/narrative
247,pebual hobi nekhok i Kalak pekahup khut pebual,,Story/narrative
248,daun si ampuh de khang alas nde edime sempukh pan pinang,,Culture/Tourism
249,cube jelas ken kune lingkungen mu nemu menjadi lebih baik dan lebih ramaha lingkungen,,Instructions
250,tergantung cakhe kite plin kune kite paham gedi bahan versi kite bede kalak bede,,Story/narrative
251,masjid taqwa ni kute cane e gat ku photo khut pemandangen si indah,,Story/narrative
252,"siapken bahan pul Edi tanem siap Edi timai soh iye mil pul Edi pupuk tekhus timai be sebulan duebulan bakhu nipanen,pul ngo ni panen bakhu kite me pabrik ne Kase ni giling",,Instructions
253,cekhiteken kune kas tekhbaik untuk kao kassi?,,Story/narrative
254,kite tuko nahan layar hp mu ee sekae Ki,,Instructions
255,kajadie ne kemerdekaen yang paling mendunie,,History
256,"kae Nate ku terwujud kae Ndak senang, apa lagi ngidah Awe mek ku dak wayang senang ne leh",,Story/narrative
257,ni ketambe kas ne dak wanyang taboh ne pul di gat gotak silayakh kas ne taboh nihadi kisah ne v bue,,History
258,kakhenne Tawe ye kene tawaii ye kene intangi kae kek nine hadi,,Story/narrative
259,khidi Ken ye be siap pakek Ken baju ne pakek Ken bedak minyak Kase mekhriyum bosih dak nai bau khut cemak siap Edi khre ye mangan sulangi ye mangan siap Edi medem Luhu Ken kase dak tangis ulah ne de gho buet pate ye melelo khut imbang ne siap Edi de gho bon wakhri khidi Ken tule de mace ye antat Ken mace se gho balik mace meden Ken ye,,Instructions
260,"te misal ne aku nulis buku, akan ku tulis buku tentang kisah ku sendiri",,Story/narrative
261,aku semase smp senakhen dapet juakhe 2 dakhi kls satu Soh kls telu,,Story/narrative
262,"kas mangan bage kae si kao get, cube jelasken",,Story/narrative
263,khane kas ne ndi sedang viral ne nenge v Mende pemandangen ne,,Story/narrative
264,kae kae plin hal si menukhut mu menjadi pekhubahen belin ni bagas sejakhah manusie dan kae alasen ne,,History
265,mlot kutoh ninte kune kin tangkang ne kenin no he kmi tong seklh kenin tanyak ken,,Story/narrative
266,yaedi kematian Ninik ku kakhene sebelum side laus aku nangat mendapetken kasih sayang side akhi,,Story/narrative
267,cakhe melastariken bahasa daekhah kite hakhus bue pengalamen khut bue imbang Kase mudah kite ajakhken meteman kite,,Culture/Tourism
268,pekhak khutbat pepujinen dak ge Ken cekhokh,,Story/narrative
269,"tukokh databes, terkhus belajarkh ulang henti,  tetap semangat gakhami khalak si ukhok it si ligat ngedit si bacar,  sipintekh ngelakuken kaepe",,Story/narrative
270,"kelinci, kakhene imut gedang tule cuping ne ape lagi si wakhne mentakh",,Story/narrative
271,"let ndubhe aku laus bhe Berastagi ,si madhe ndauh dhalan ne Tanoh alas metuah nde nakhi,laus aku bedih metujunen lajang sambil khekhidi,tapi ku jumpai me sebhuah keluakhge si khidi pe iye jage ne jakhak ne khut Kalak si ntekhem akhi,pakenen ne malet mengundang haskhat non mukhrim ne,Soh bhe anak anak ne pe mejile kekhine pakenen ne sehingga aku mekhase lajang sekalien ni bekhe pelajakhen Kane untuk menjage dikhiku ande akhi bedih",,Culture/Tourism
