,Alas,Indo,Domain
60,upahken kalak si nuan jagung e pige sak bibit kin ndiye pul edi ngo kase 4 bulan panen jagung nin gre,,Instructions
61,cube jelas ken kune kebiasen mu menyapa kalak si malet get ate mu khut kalak si kamu sape ge,,Story/narrative
62,ulang bahan mesuii ate ne ulang gago Kalak lain,,Instructions
63,kae pelin motipasimu bagas mebahan khut kalak e kae si kao dapet adi akhi,,Story/narrative
64,"hal kae plin si kao getti tentang daekhahmu, cube kao jelasken?",,Culture/Tourism
65,'Ogek main gembikhene ahli sihikh edi memegeken imbalan si nidapet ne khut modal amin mengasud sang khaje,,Culture/Tourism
66,kae si njdhiken suatu wakhi njadhi wakhi mejile si pekhnah let ?,,Story/narrative
67,dan aku bersyukukh kakhene lot keluakhge si lot setiap aku dang susah atau pe senang,,
68,senat kakhene Edi hakhus ni lakuken setiap naki,,Culture/Tourism
69,menerapken kae si wajib kuterapken khut tekhuhen ku,,Story/narrative
70,ulng gat alas kae v nak ulang Ken begedi begende v Mak kongin,,Story/narrative
71,kas mangan sepekhti kae si paling get ate mu,,Story/narrative
72,kae plin hal si mahan kau makhese pang?,,Story/narrative
73,kene cemeti khaje pilihen,,History
74,cube sebut ken kriteria mu tentang pecaye be kalak si pekhah pebual khut khang tue mu,,Story/narrative
75,mudahen ni wakhi ke depan ne lancakh-lancakh plin ke depan ne,,Story/narrative
76,kae pendapetmu tenatng situasi saat endr ni bagas kutemu,,Story/narrative
77,"hakhge dikhi, kasih sayang khang tue, kedameen keluarge","berserah diri, kasih sayang orang tua, Kedamean keluarga",Story/narrative
78,"pelajakhen paling mengune ni sekolah di pelajakhen agame,kakhene untuk masa depan",,Story/narrative
79,Ni taman batu membersih ken diri wahe kakanda yang baik budi ulang kakanda harap harapen tebe enggi mu aku pe demi kian,,History
80,tsunami ni Banda Aceh tahun 2004 Mahan kite menjadi jeme hakhus waspada khut tekhjadi ne tsunami e kite Nemu metoh pige alak korban khut kite Nemu Buet pelajakhhen,,History
81,khalak bayak khalak baca khalak menjile khut bayak,,Story/narrative
82,aku pe pet da mangan imbang ku dang kale manggan aku,,Story/narrative
83,peduli wali v dikhi mu madalih ku mar okhang tue mu Talu kepe,,Story/narrative
84,"nimat mesyukur si kusukuri kane dekah go geluh ni dunie nde,  nikmat islam kane nemu tong ibadah,  niat menolong khalak lain,  nikmat dak irie khalak lain",,Story/narrative
85,tergantung sedap lagu ne gedi plin si gati ku ge ken jale nakan lagu ne,,Culture/Tourism
86,"mengasiku hampikh job wakhi,tah kae si mengasi ne mak ku toh biding",,Story/narrative
87,wakil mutlak badan dikhi ku,,History
88,"jike Kao jadi fotografer, hal kae pelin si kao potkheti",,Story/narrative
89,si hakhus ku lakuken tetap simpan walope Ndak nyaman nyimpanse kakhene Edi sebuah amanah,,Story/narrative
90,"wajib bekhsyukukh, apelagi mbuene khajeki kheken Allah bhante, hakhus nisyukukhi",,Story/narrative
91,mejile mejile mejile mejile mejile mejile mejille,,Story/narrative
92,sipaling megah pokone malet ise pe tandingise pul edi bahagi kami pe,,Story/narrative
93,khayak kidah bahanenku sendah dang berjuang aku ngurus website wisata edime si nemu kucekhiteken wakhinde sebenakhne bue tong kesibukenku bage nulia pelajakhen tentang kune mahan media mejile ni website kane got te khalak,banyak kerja ku sekarang lagi berjuang aku urusan website wisata itu lah yang bisa ku ceritakan hari ini sebenarnya masih banyak kesibukan ku seperti pelajaran tentang bagaimana cara membuat media bagus di website biar tau orang,Story/narrative
94,"menukhut nin, kune kami dapet menangkihken fitukh bakhu aplikasi kami",,Story/narrative
95,"dakhi mule ne sekolah Sampek kuliah nde otomatis mebue pengalamen si ku alami,mulai dakhi menyedihken,menyenangken,menghakhuken dan si lain ne",,Story/narrative
96,aku pekhnah dabuh akhi Honda Edi me si mengubah hidupku,,Story/narrative
97,nawe ni badan khase ne bhene,,History
98,dahi kake bone iye bone he ken ne bangku jeles ken ne lebe,,Instructions
99,tekhe ale me kau we are the first to one more Time to rock and clean and clear that,,Instructions
100,"kune cakhe mu menyelesaiken masalah, cube jelasken setauhu mu plin",,Instructions
101,de dang mengas aku merenung sendikhi tenang Ken pikekhen ulang muet keputesen dang mengas kakhene Nemu Mahan kite khugi ni pedunin wakhi,,Story/narrative
102,"misal ne Mahan khikhis si pokhlu ni siap Ken buluh ne,niwokh,bekhas piket,kayu",,Instructions
103,pengalamen si mekesan atau memakna yaitu suatu kebanggaen bagi khang alas sitanding ni tanoh alas nde sika,,Culture/Tourism
104,"bue si kulakuken, ngopi khut imbang,  lajang,  gakham khajeki",,Story/narrative
105,"de laus luakh daekhah atau v mekhanto mejile pekhasat,ukhok Sitok buet ate Kalak Maso ikuti jeme sifat dak Mende e",,Story/narrative
106,"penah, sui ate ku Edi Kase dempik aku, apalagi sikel langakh Honda aaaaa",,Story/narrative
107,efek utamene dapet mempekhbanyak kokhban kematien,,Story/narrative
108,"kune cakhe mempelajakhi sesuatu, cube jelasken ?",,Instructions
109,bue kalak nading ketike kejadien pekhang ni kute kutarih,,History
110,kune pendapetmu tentang kualitas demokhasi indonesia sendah nde,,History
111,"narkoba, edi si paling pakhah ne sendah nde anak mude anak lajang khoh candu ne narkoba mlt nae seloh ate ne kae v main hp, narkoba pokokne cemak me nggo generasi sendah de ndak mende ni didik khangtue ne",,Story/narrative
112,ketekhe sejakhah mempengakhuhi geluh kite sendah nde,,History
113,malet kadepe kelebihan ku aku manusie kukhang ni dunie nde,,Story/narrative
114,kune cakhe mu bedeken kualitas barang e?,,Instructions
115,"te Nemu ku undang jeme ise pe ni dunie nde untuk mangan khut aku,aku akan undang Jokowi sebab side jeme penting ni negakhe Indonesia nde selain Edi Pe kase Nemu aku mangan taboh dan side mayakh se",,Story/narrative
116,ni kutecane bue tarian ni kute gayo lot takhi saman gelath ni kute alas lot  takhi blo mesusun,,Culture/Tourism
117,"khintangen nggeluh ni mase sendah bage kemiskinen,nikakheneken buene masakhakat si menganggukh mlt mebahanen",,Story/narrative
118,"kakhene pengawasen dakhi DPR khut  Komisi Nasional Hak Asasi Manusia (Komnas HAM) tong  lemah, tekhmasuk Kane  kegagalen  program deradikalisas",,Story/narrative
119,dengan cakhe mendidik ne khe ye mangan Kase gekhe belin,,Instructions
120,dengan cakhe menghibukh diri misalne bage pasang musik si nemu mbalik Ken mood kite Kane m,,Story/narrative
121,kain pembungkus ni buke kene takal de husin pule rupeng wahe kanda ku belahe ndikhi enggi mu cinta sepanjang hakhi,,History
122,si pot ni bages diri q Edi me mudah senyum khut jeme,,Story/narrative
123,"aku nangat jadi Kalak hebat, si Nemu megune untuk masyakhakat khut keluarge",,Story/narrative
124,"tantangen ni mase lampau ku khase malet,ni mase sendah nde amin tantangen geluh salah satune untuk gakhami bahanen,sebab bue Kalak mesaing kadang-kadang bue Kalak khubat gakhe edi walope khut sodakhe",,Story/narrative
125,kami tading de ape lah daye mah kote alam karem duni nye terhenti rajab khaje yang sakti zenab sari banun berganti-ganti,,History
126,ni bagas peti pule bhahan ne mengket penjakhe racun laus ne,,History
127,cekhite ken kune tsunami di mase 2004 diye dan kune cakhe ne menjadi sejakhah,,History
128,Cambung mendering enggo ketahuen Anak ne tergelak bagas pangku en Sohme siti bagas istana ne Kire ne Hasan hampir go pane,,History
129,MTQ gati ni laku Ken ni taman kota mebue jeme nilengi se,,Culture/Tourism
130,kune cakhe mu gambakhken pengalamen mu makek ikata ?,,Story/narrative
131,kas si paling aku sukei ni kafe untuk melancakh ken otak ku kase dak buntu su,,Culture/Tourism
132,dengen anakku sultan terbagi,,History
133,"malet kutoh, kae gat nemu let leluhur e, malet kane aku ndak pecaye pe",,History
134,ulng gt begedi da kite v begende nge kene bahan ko v ulng gt gedi,,Instructions
135,malet mekhesen nde Mahan ganjal pikekhen sebhab kekhine sen amin kuncine,,Story/narrative
136,"kakhen gukhu ne mejile,nenge pe pelajakhen ne mudah ni pahami",,Story/narrative
137,padamlah api makah madinah,,History
138,laus ke tempat wisata atau pe laus mangan bakso,,Instructions
139,ali akbar tersebut name,,History
140,menukhut ku penting kalihen kakhene sebab de malot keluakhge ape mungkin geluh v,,Culture/Tourism
141,kune cakhe mu menyelesaikan sebuah bahanen yg payah,,Instructions
142,khemangan khidiken bosihi badan ne bosihi kandang ne,,Instructions
143,kenangen buruk si penah ku alami ni caci-caci imbang ku die waktu aku Tong sekaloh kakhene cut su badan ku walo pe Soh sendah tong cut,,Story/narrative
144,kite pahami kebutuhen khut kemampuen pekhusahaen,,Instructions
145,ni datas gajah rante me bilang,,History
146,mange Soh bhedi ku bhace kekhi Dhe nggo ku bhace pagi ku cekhiteken,,History
147,pelajakhen agame edi situhune kane kite nemu bedeken si benakh khut si salah,,Story/narrative
148,"mase penjajahen die amin ku toh,belande jajah indonesia",,History
149,cekhiteken pengalamen mu makek aplikasinde,,Story/narrative
150,kakhene maju dekhahte,,Culture/Tourism
151,"lebe let kin si khami ee mehayak cekhite khami, apelagi de nggo khut imbang kite, kite mecekhite",,Story/narrative
152,walo v aku ni ande dauh go sendah ni adih Mak tambung kan,,Story/narrative
153,"langkah-langkah mesan bakhang online pertama gakhami bakhang si kite minati, ato harge ne,ato diskon ne,ato gratis ongkir ne,te sesuai kekhi ne bakhu gat pesan okayyyyyy",,Instructions
154,cakhe ne gakhami pengalamen ni luar dan ulang lupe belajar lebih giat tule,,Instructions
155,"kucing hewan si get ni ateku selain tekhidah manis, imut tule",,Story/narrative
156,pindah lh bg kite me june kE si Yanni hande ni kute Nak t khoh,,Instructions
157,yaedi melakuken kegiaten olahraga membantu khang tue,,Story/narrative
158,lawaken si mende edi lawaken wan kibul khut johat,,Story/narrative
159,"tekhutame isi pidato te, te mempelajakhi ni khumah",,Instructions
160,malet penah dan malet terpikirken,,Instructions
161,si bokhsih malet ni bawah tekanen atau pe Sekate mahani kaepe,,Story/narrative
162,"untuk dommi kebutuhen geluh, khut kas tading manusie",,Culture/Tourism
163,kekhi ne kas ni kute cane nde bue mejile jile bage Ketambe gurah Edi pe taboh kas ne Lawe ger ger pe taboh kekhine taboh he,,Culture/Tourism
164,wallah hu alam buwe jase ne,,History
165,"pesatuen Indonesia, semangat ne khut pejuangen ne",,History
166,aku hoye mudali naleng fine v matabih ate ku made ku mungkar,,Story/narrative
167,pernah mencintai Kalak salah khut melawan me okhang tue,,Story/narrative
168,Dang ngembakh aku ee gat jumpe khut iye gat mepahukh soh tekhang,,Story/narrative
169,ulang tading Ken adat khut budaye alas te,,Culture/Tourism
170,cekhiteken pengalamen si mekesan atau bermakana si kao miliki saat berpatisipasi bagas suatu acakhe kebudayaen atau kepercayaen?,,Culture/Tourism
171,ngati ngechat anak khalak lewat wa khut fb,,Story/narrative
172,Alamat edi nyate lah pule kemudien hari menuntut bele kakanda terang ken supaye tentu menuntut bele enggo tertentu,,History
173,kapir pe letun dengen pantas ne nelamat ken nyawe dari sultan paduke,,History
174,belande kale sompat jadi pki ni kute alas nde laus kalak be deleng lukah ni tembai khang belande nde,,Story/narrative
175,"melelo bancih, melelo gulali melelo karet",,Story/narrative
176,"teknologi mebahan sesuai khut teknis,sesuai sistem,sesuai pekhintah jeme si menjalankan teknologi ne masing-masing",,Story/narrative
177,mange lot khumah mangge lot motokh persiapen tong dauh magge s satupe magge lot esenpe,,Story/narrative
178,ni gukhan cekhit tentang silayakh,,History
179,daun si ampuh de khang alas nde edime sempukh pan pinang,,Culture/Tourism
180,ketekhe terorisme payah ni berantas,,Story/narrative
181,aku dapet aplikasii nde dakhi imbang imbang ku sukhuh ne ku download aplikasi nde kane nemu kujawab soalende,,Instructions
182,keluakhge ku kakhne kumpul khut keluakhge si penting ne bagi ku,,Story/narrative
183,sikel dape kau laus kae ulah me,,Culture/Tourism
184,nggo kewajiben ku sebab let Kane cIte cite cite ni gapai,,Story/narrative
185,tarian ni kas kami si populer ne edi me mesekat,,Culture/Tourism
186,cube jelas ken menukhut dikhi mu sendikhi kune pandangen mu tekhadep wakhi kiamat,,Story/narrative
187,cimber senjate enggo de kelam,,History
188,terkesan kakhene metohi budaye Edi khut ikut serta,,Culture/Tourism
189,pekhsahabaten adalah jeme si pet bantu kite susah khut senang sedih khut endah dan si metoh si mahami keadaan kitee,,Story/narrative
190,tentang geluh ku khut tentang keluakhge ku hakhus iye toh,,Story/narrative
191,kae gat kao nemu tekhtakhik khut sesuatu masalah,,Story/narrative
192,wahe enggiku mude utame meminum racum hendak kerine enggo mesekah bekas bergantung tandok mengeluh bage ken patung,,History
193,aku ni lahekhken dakhi cut soh mebelin ku dengan cahe sempulhnr dan sejak nggo mbelin aku dimanjeken olah kedue okhang tue ku,,Story/narrative
194,kune gat nemu sesuatu menjadi pengaruh terbelin ni saat kamu menentuken pilihen mu dan kae alasen ne,,Story/narrative
195,malet pernah Mahan daftar belanja tebgat malet pernah,,Instructions
196,suakhe merdu saat Kalak membaceken ayat suci Alquran tenang khase ne ate megeken Se,,Story/narrative
197,cekhiteken kae sitekhjadi ketike belande menjajah daekhah mu,,History
198,megeken titah sultan handalen,,History
199,timai anak du ni padang mahsar,,History
200,kenalen dan buat cerita khut khut iye dan bahas Mase depan,kenalan dan bikin cerita dengan dia dan bahas masa depan ,Story/narrative
201,bahan acakhe kebudayaen kase senakhen toh kalak,,Culture/Tourism
202,maso ikut campur khut urusen Kalak lain Edi plin go,,Story/narrative
203,malet ku Tah malet paham aku kae Kate bamu,,Story/narrative
204,"menukhut mu, hal kae kae plin si dapet memecahken negakhe Indonesia kite nde",,Story/narrative
205,malet kae v si baik kakhene malet penah laus laus v,,Culture/Tourism
206,malet kutoh malet ukhok aku malet kutoh malet ukhok aku,,Story/narrative
207,babe ken rakyat khoh dapet ken khaje ne edi khut ni iring ken  tebe baginde lalu bersalam ni padang karbale rupe ne kelam,,History
208,"menukhut mu,kae plin si memecah indonesia","menurut kamu, apa saja yang memecahkan Indonesia",Story/narrative
209,zaman podaksara ni tandai bage mase ni zaman manusie mange nandai tulisen,,Instructions
210,"menukhutku lebih baik lot sen dakhi pade kasih sayang Ndak terhingga,sebab te lot sen mebue Kalak sayang ate,sebalikne te mlt sen malet pandang Kalak PE kite",,Story/narrative
211,aku sebage anak hakhut membanggeken kedue khang tueku khut mengangkat dekhajat kedue khang tueku,,Story/narrative
212,cekhite unik ne daekhah ku yaitu adat budaye alas pemamanen nemu ne sebut pekojeken belin,,Culture/Tourism
213,Kane malot cocok su Bagas ate kune bahan,,Story/narrative
214,mbuwe terlalu membunuh orang,,History
215,cekhiteken sesuatu tentang kau si menukhutmu mungkin malet kedue kalak tuemu kautohi,,Story/narrative
216,"mengenai aplikasi ikata nde, aku berpendapat bahwasene aplikasi nde dapet membantu penggune ato v si memakai aplikasi ikata untuk membantu teman teman kite si malet paham tebeken bahasa asing",,Story/narrative
217,malet kadepe si penting dunie amin kekhine,,Instructions
218,Cakhe ku gakhami kas mangan adalah dengan khoh me dapukh lekakhi sange siap di buet ken nakan,,Instructions
219,nasihat se aku dapet dakhi kalak yaitu te sikol sukses harus berjuang dengan sekuat tenage untuk mendapetken se,,Story/narrative
220,"siapken bahan kue si sikel kite prensen tasiken, rpp ne leptop ne",,Culture/Tourism
221,Adi lengkap kane nemu tawakh hakhge ne lebih mukhah adi dakhi pade ni super market,,Story/narrative
222,Poto poto Masak khut imbang tetawe khut imbg,,Culture/Tourism
223,honde kakhene nuko honde Edi pakek sen sade,,Story/narrative
224,musik tradisional ni kutecane ielah mecanang,,History
225,kakhene pelakhen si get ate ku kakhene munukhut ku polu untuk Mase depan ku te nege pe mudah ni pahami Mahan SE get ate ku pelajakhen die,,Story/narrative
226,cidah ken kekukhangen kite te ngo toh ne kekukhangen te pot ye mekhimbang khut aku bekhati mende,,Story/narrative
227,bagaimana sejakhah jadi alat bantu kite pagi mebahan ni adih ko aku bsbw bahas kune ken nu las,,Story/narrative
228,kajadinen ni sebuah kelompok mace lot kalak malot tandainye hukhuf ijaiyah,,Story/narrative
229,maso hut rawat ne,,Culture/Tourism
230,contoh gotak salayaku let sejaran ne ni jaman dube gat ni lestariken ni jaman sendah,,History
231,Ratap khut tangis enggo berhenti tersebut pule sultan yang sakti sangat lah belin pule kerajaan nemu tebe ken hasan sangat dengki ne,,History
232,kalak kale dang micin g bone daa idihh lawak ne,,Story/narrative
233,sengkire enggo tuan titah ken ketike ende hambe sile ken made lah panjang nange kisah ne mangan me kalak nale kerine,,History
234,kite v begende nge Hamin da nu de Nemu kin kite kale akhi gedi,,Story/narrative
235,zaenab sari banun same lah tuhan,,History
236,mbalik kute mbalik mas tading jumpe khut keluakhge,,Story/narrative
237,"Kalak khecok, bue masalah, hp nde, Kalak Kalak si Ndak penting",,Story/narrative
238,ni tutung atau v sampah si organik Nemu bahan menjadi pupuk dan lebih memanfaat untuk masyakhakat,,Story/narrative
239,bace,,Story/narrative
240,"lot tari belo mesusun, pemamanen  khut jagai",,Culture/Tourism
241,cekhiteken tentang sitiasi si sulit atau menantamg si anda hadepi khut kune anda mengatasi se?,,Story/narrative
242,nerakhe kakhene ni setiap pemamanen let nerakhene,,Culture/Tourism
243,"tuko be bibit kacang e bakhut gat kau kukhik Tanoh e, setelah Edi tanemken bibit kacang e",,Instructions
244,cakhe ne mendownload aplikasi ne tekhu tame let paket ne,,Culture/Tourism
245,kae ngat gedi kin ngat gedi me di dunia e waktu daling e khutung imbang dan sekali,,Story/narrative
246,"de aku menjalin hubungen khut khamah ku, hal sikulakuken si ku bekhe tahu ken me iye sewajakh ne pelin, malet gat kekhine ku cekhite masalah ku bane",,Story/narrative
247,malet me kantong lupe aku dape letak pul edi bene,,Instructions
248,"cakhe ku mencape tujuenku untuk mekhubah nasibku, supaye kedepanne aku nemu sukses dan nemu membahagieken kedue okhang tueku ni mase yang akan datang",,Instructions
249,kisah de made hambe panjang ken putri ne edi hendak ni nikah ken utusen madalan bermohon diri soh tebe istana menyusun diri,,History
250,"Aku sikel nimai kao mecekhok tebe sang khaje, bahwe anak si kelak sikel lahekh edi adalah anak si amin membabe balepetake te membabe semsakhe ni negekhi ende",,Culture/Tourism
251,kandu terkurung ni guhe yang dalam,,History
252,tong lot jabu kas Mido tolong tepe malet iye luakh Ken cekhok,,Story/narrative
253,"gue ne mbelin, ni bagasne mbue pekhalaten khumah sepekhti kasukh,tivi, lemakhi dan sebage ne si terbuat dakhi batu",,Story/narrative
254,mekhe nasehat si mejile ne si manfaat untuk manusie,,Story/narrative
255,sendah kan lot cakhe mudah melalui online atau v aplikasi,,Instructions
256,"menukhutku Nemu kakhene kite bue sumber daya alam,namun kite kukhang sumber daya manusia",,Culture/Tourism
257,khasene waktu belin tue e dak wayang sekhik nekakhene waktu belintuke tong 1 bulan mual mual khase ne,,Story/narrative
258,taboh ku kap bersyukur aku khasane tading ni hande,,Story/narrative
259,mecekhite tentang geli ni dunie nde bage Kalak mecinte biase ne,,Story/narrative
260,dahi hala hal si dak Nemu ni contoh Kase Nemu lingkungan te de baik,,Instructions
261,ni iringi laskar dengen angkaten keduwe ne khaje same menantang umpame porkasni waktu petang,,History
262,bahani iye khayak sen kane mantao ende undang imbang malet pot ne pe kidah da,,Story/narrative
263,kene tolong pas dabuh kene bantu te sedang susah,,Story/narrative
264,Made berape ndekah antare ne Be padang karbale tebe tuan ne Tersebut yazid raje bangsawan Ali akbar hendak ni tawan,,History
265,marwan hakim gelar raje ne ni datas gajah ken kenderaen ne buwe ne edi ribunen jute madelah hambe panjang cerite,,History
266,kae kao nagat jadi Tandai kalak bagas hal kae kune ngat gedi,,Story/narrative
267,cinta dan kasih sayang mlet kae v fine ne di yang penting geluh plim,,Story/narrative
268,si get ate ku main game si malet get ate ku pepelin khubat,,Story/narrative
269,mulai me nabi sakit kire ne,,History
270,nempukhi okhang tue menahan pus jagung khut nuan page,,Story/narrative
271,si ku idah tentang pernikahan Edi me bagus,,Culture/Tourism
272,mike lebe pul edi caiken te malet dalam lua go,,Instructions
273,kae cekhite tebaik dakhi sekolah atau kas mebahan ?,,Story/narrative
274,mu pinjam sen ne dak Putut khut malet putut,,Story/narrative
275,cekhiteken kune khohne mobil berdampak ni perkembangen sejakhah daekhah mu?,,History
276,"kikhe-kikhe, kae plin kelakuen pasangenmu si mahan kao nyaman, cube jelasken",,Story/narrative
277,petame pikneken be kae si sekel kite bahan pul edi kite siapken me bahan ne bakhu nemu kite kasaki,,Culture/Tourism
278,malet perna kuhato,,History
279,sukhuh Khang tue Yan pekhik Des jume pegas medem,,Story/narrative
280,menukhut mu kune kabakh tentang imbang mu si enggo dekah malet jumpe khut kamu dan kune kamu nanya ken se be imbang mu si enggo dekah malet nae komunikasi khut kamu,,Story/narrative
281,cakhe lupeken kesedihen khut cakhe capakken dauh dauh hal hal se mahan kite sedih e,,Instructions
282,milik ku si paling mehakhge adalah kedue khang tue ku,,Story/narrative
283,rante bersilang bage ni rajah,,History
284,"ketekhe kenin biasene ngekhawat geluhen kenin, bage mekhe mangan ato mbosihken kandang?",,Instructions
285,dengan cakhe nukokh bahan-bahan dengan harge mukhah,,Instructions
286,motivasi ku bagas mebahan ndak lain khut ndak bukan kakhene gaji khut sen ne,,Story/narrative
287,Dengan cakhe bermusyawarah lebe kase kerjasama ne berjalan dengan lancarr,,Story/narrative
288,wakhi Senin Kane siap wakhi Minggu langsung senin,,Story/narrative
289,uwe mi gei oe ukhok e dan jage itik yang tidak nemi au daleyen pegaye w jagsgs ajajah ajajaj yang tidak nemi,,Instructions
290,enggimu tading mekhate edan,,History
291,menukhut aku untuk memastiken dana untuk mencukupi program khut proyek belin menyiapken khencane anggaren si kite bahani,,Instructions
292,hendaklah balik pulang kembali nasib ku pido enggo begedi ku tambah sitok kabar kenangen,,History
293,kae sebab ne gat nemu ko mekhase te ko ni cintai oleh sekitakh mu,,Story/narrative
294,ni tangkap kapit sultan utame dengen laskar ne sorte panglime ebe negeri damsik lalu babe ne ni sembah kene tebeken raje ne,,History
295,cekhite ken kune te malet penyebab pariwisata ni bagas daekhah ku,,Culture/Tourism
296,begedi me si ku bahan iii ee ulng gt kogan bual ku nak jhahahahha,,Instructions
297,kakhene iye dang bahagia Edi Kase kae PE chekhok ne pasti chihem iye,,Story/narrative
298,male ukhok su aku jawab se te eno maap na,,Story/narrative
